Epoch	ClsLoss	DecLoss	DivLoss	LossSum	Accuracy
  1	0.35996132	0.16759020	0.34505021	0.87260174	0.89035156
  2	0.00525409	0.04405320	0.14370166	0.19300895	0.99882812
  3	0.00144494	0.03672275	0.12307692	0.16124461	0.99984375
  4	0.00102010	0.02992428	0.11203109	0.14297547	0.99996094
  5	0.00489602	0.03490371	0.11827581	0.15807554	0.99863281
  6	0.00059994	0.02751080	0.10515822	0.13326897	0.99996094
  7	0.00050941	0.02393861	0.10345344	0.12790146	0.99992187
  8	0.00118210	0.02416855	0.10355206	0.12890271	0.99984375
  9	0.00046095	0.02341753	0.10124410	0.12512258	0.99996094
 10	0.00036899	0.02181187	0.09741709	0.11959795	1.00000000
 11	0.00507663	0.02929047	0.10749039	0.14185748	0.99886719
 12	0.00053049	0.02486371	0.09938000	0.12477420	0.99996094
 13	0.00025591	0.02128111	0.09667682	0.11821385	1.00000000
 14	0.00026482	0.02075960	0.09597445	0.11699887	1.00000000
 15	0.00159356	0.02179220	0.09809404	0.12147979	0.99972656
 16	0.00025882	0.02016754	0.09710896	0.11753532	1.00000000
 17	0.00022855	0.01960702	0.09457462	0.11441019	1.00000000
 18	0.00028887	0.01882339	0.09366243	0.11277470	1.00000000
 19	0.00567804	0.02705534	0.10561367	0.13834705	0.99851563
 20	0.00031065	0.02229176	0.09910277	0.12170519	1.00000000
 21	0.00051466	0.01999173	0.09569274	0.11619913	0.99992187
 22	0.00085069	0.01999908	0.09701788	0.11786765	0.99988281
 23	0.00021209	0.01921043	0.09411550	0.11353802	1.00000000
 24	0.00079650	0.01977179	0.09573519	0.11630347	0.99976562
 25	0.00230602	0.02436012	0.10039844	0.12706459	0.99925781
 26	0.00017637	0.01915462	0.09342628	0.11275727	1.00000000
 27	0.00019307	0.01810847	0.09360870	0.11191024	1.00000000
 28	0.00018367	0.01901890	0.09327916	0.11248173	1.00000000
 29	0.00021166	0.01741105	0.09264522	0.11026793	1.00000000
 30	0.00022666	0.01779527	0.09241207	0.11043400	1.00000000
 31	0.00018790	0.01707651	0.09302099	0.11028540	1.00000000
 32	0.00018852	0.01765652	0.09180435	0.10964940	1.00000000
 33	0.00284455	0.02080153	0.09730568	0.12095176	0.99929687
 34	0.00323024	0.02582508	0.10103716	0.13009248	0.99925781
 35	0.00020909	0.01875709	0.09573186	0.11469803	1.00000000
 36	0.00018556	0.01830355	0.09341976	0.11190886	1.00000000
 37	0.00018675	0.01739523	0.09234550	0.10992747	1.00000000
 38	0.00018065	0.01786083	0.09290481	0.11094628	1.00000000
 39	0.00019929	0.01703093	0.09219195	0.10942217	1.00000000
 40	0.00021955	0.01693851	0.09079502	0.10795308	1.00000000
 41	0.00018518	0.01682078	0.09288717	0.10989313	1.00000000
 42	0.00015948	0.01740946	0.09143847	0.10900742	1.00000000
 43	0.00017255	0.01755297	0.09143235	0.10915787	1.00000000
 44	0.00017179	0.01659266	0.09117034	0.10793479	1.00000000
